字符	出现次数	对应编码
T	3		00000010
h	64		0101
e	129		011
r	38		10010
'	7		0100000
s	57		0001
 	216		111
o	79		1010
m	26		110111
t	82		1011
i	60		0010
n	42		11000
g	16		010001
d	45		11001
w	20		100111
.	27		00001
I	6		0000000
G	3		00000011
l	46		11010
u	16		010010

	8		1000000
?	4		01000011
H	4		10000100
b	10		1001101
f	21		110110
a	60		0011
y	16		010011
c	14		000001
p	9		1000110
B	8		1000001
E	2		010000101
,	9		1000111
N	1		1000011110
R	5		10011001
v	17		100010
S	4		10000101
Y	1		1000011111
k	2		100001100
P	1		1001100000
M	2		100001101
C	1		1001100001
F	2		100001110
D	1		1001100010
j	1		1001100011
A	1		010000100
